"ID","CLASS","METHOD","LABEL","OD","THICK","WIDTH","DEPTH","WEBTHICK","FLANGETHICK","ROOTRADIUS","ROOTCHAMFER","TOERADIUS","RADIUS","LIP","FLANGE","EXT"
"#X#127","SZGEShape-UniversalI","Make","200UC46.2",,,"203","203","7.3","11","11.4",,,,,,
"#X#128","SZGEShape-UniversalI","Make","150UC37.2",,,"154","162","8.1","11.5","8.9",,,,,,
"#X#129","SZGEShape-UniversalI","Make","150UC30.0",,,"153","158","6.6","9.4","8.9",,,,,,
"#X#130","SZGEShape-UniversalI","Make","150UC23.4",,,"152","152","6.1","6.8","8.9",,,,,,
"#X#131","SZGEShape-WeldedI","Make","1200WB455",,,"500","1200","16","40",,"6",,,,,
"#X#132","SZGEShape-WeldedI","Make","1200WB423",,,"500","1192","16","36",,"6",,,,,
"#X#133","SZGEShape-WeldedI","Make","1200WB392",,,"500","1184","16","32",,"6",,,,,
"#X#134","SZGEShape-WeldedI","Make","1200WB342",,,"400","1184","16","32",,"6",,,,,
"#X#135","SZGEShape-WeldedI","Make","1200WB317",,,"400","1176","16","28",,"6",,,,,
"#X#136","SZGEShape-WeldedI","Make","1200WB278",,,"350","1170","16","25",,"6",,,,,
"#X#137","SZGEShape-WeldedI","Make","1200WB249",,,"275","1170","16","25",,"6",,,,,
"#X#138","SZGEShape-WeldedI","Make","1000WB322",,,"400","1024","16","32",,"6",,,,,
"#X#139","SZGEShape-WeldedI","Make","1000WB296",,,"400","1016","16","28",,"6",,,,,
"#X#140","SZGEShape-WeldedI","Make","1000WB258",,,"350","1010","16","25",,"6",,,,,
"#X#141","SZGEShape-WeldedI","Make","1000WB215",,,"300","1000","16","20",,"6",,,,,
"#X#142","SZGEShape-WeldedI","Make","900WB282",,,"400","924","12","32",,"6",,,,,
"#X#143","SZGEShape-WeldedI","Make","900WB257",,,"400","916","12","28",,"6",,,,,
"#X#144","SZGEShape-WeldedI","Make","900WB218",,,"350","910","12","25",,"6",,,,,
"#X#145","SZGEShape-WeldedI","Make","900WB175",,,"300","900","12","20",,"6",,,,,
"#X#146","SZGEShape-WeldedI","Make","800WB192",,,"300","816","10","28",,"6",,,,,
"#X#147","SZGEShape-WeldedI","Make","800WB168",,,"275","810","10","25",,"6",,,,,
"#X#148","SZGEShape-WeldedI","Make","800WB146",,,"275","800","10","20",,"6",,,,,
"#X#149","SZGEShape-WeldedI","Make","800WB122",,,"250","792","10","16",,"6",,,,,
"#X#150","SZGEShape-WeldedI","Make","700WB173",,,"275","716","10","28",,"6",,,,,
"#X#151","SZGEShape-WeldedI","Make","700WB150",,,"250","710","10","25",,"6",,,,,
"#X#152","SZGEShape-WeldedI","Make","700WB130",,,"250","700","10","20",,"6",,,,,
"#X#153","SZGEShape-WeldedI","Make","700WB115",,,"250","692","10","16",,"6",,,,,
"#X#154","SZGEShape-WeldedI","Make","500WC440",,,"500","480","40","40",,"6",,,,,
"#X#155","SZGEShape-WeldedI","Make","500WC414",,,"500","480","32","40",,"6",,,,,
"#X#156","SZGEShape-WeldedI","Make","500WC383",,,"500","472","32","36",,"6",,,,,
"#X#157","SZGEShape-WeldedI","Make","500WC340",,,"500","514","25","32",,"6",,,,,
"#X#158","SZGEShape-WeldedI","Make","500WC290",,,"500","506","20","28",,"6",,,,,
"#X#159","SZGEShape-WeldedI","Make","500WC267",,,"500","500","20","25",,"6",,,,,
"#X#160","SZGEShape-WeldedI","Make","500WC228",,,"500","490","20","20",,"6",,,,,
"#X#161","SZGEShape-WeldedI","Make","400WC361",,,"400","430","40","40",,"6",,,,,
"#X#162","SZGEShape-WeldedI","Make","400WC328",,,"400","430","28","40",,"6",,,,,
"#X#163","SZGEShape-WeldedI","Make","400WC303",,,"400","422","28","36",,"6",,,,,
"#X#164","SZGEShape-WeldedI","Make","400WC270",,,"400","414","25","32",,"6",,,,,
"#X#165","SZGEShape-WeldedI","Make","400WC212",,,"400","400","20","25",,"6",,,,,
"#X#166","SZGEShape-WeldedI","Make","400WC181",,,"400","390","20","20",,"6",,,,,
"#X#167","SZGEShape-WeldedI","Make","400WC144",,,"400","382","16","16",,"6",,,,,
"#X#168","SZGEShape-WeldedI","Make","350WC280",,,"350","355","28","40",,"6",,,,,
"#X#169","SZGEShape-WeldedI","Make","350WC258",,,"350","347","28","36",,"6",,,,,
"#X#170","SZGEShape-WeldedI","Make","350WC230",,,"350","339","25","32",,"6",,,,,
"#X#171","SZGEShape-WeldedI","Make","350WC197",,,"350","331","20","28",,"6",,,,,
"#X#172","SZGEShape-ParallelChannel","Make","380PFC",,,"100","380","10","17.5","14",,,,,,
"#X#173","SZGEShape-ParallelChannel","Make","300PFC",,,"90","300","8","16","14",,,,,,
"#X#174","SZGEShape-ParallelChannel","Make","250PFC",,,"90","250","8","15","12",,,,,,
"#X#175","SZGEShape-ParallelChannel","Make","230PFC",,,"75","230","6.5","12","12",,,,,,
"#X#176","SZGEShape-ParallelChannel","Make","200PFC",,,"75","200","6","12","12",,,,,,
"#X#177","SZGEShape-ParallelChannel","Make","180PFC",,,"75","180","6","11","12",,,,,,
"#X#178","SZGEShape-ParallelChannel","Make","150PFC",,,"75","150","6","9.5","10",,,,,,
"#X#179","SZGEShape-ParallelChannel","Make","125PFC",,,"65","125","4.7","7.5","8",,,,,,
"#X#180","SZGEShape-ParallelChannel","Make","100PFC",,,"50","100","4.2","6.7","8",,,,,,
"#X#181","SZGEShape-ParallelChannel","Make","75PFC",,,"40","75","3.8","6.1","8",,,,,,
"#X#182","SZGEShape-HotAngle","Make","200x200x26 EA",,,"200","200","26","26","18",,"5",,,,
"#X#183","SZGEShape-HotAngle","Make","200x200x20 EA",,,"200","200","20","20","18",,"5",,,,
"#X#184","SZGEShape-HotAngle","Make","200x200x18 EA",,,"200","200","18","18","18",,"5",,,,
"#X#185","SZGEShape-HotAngle","Make","200x200x16 EA",,,"200","200","16","16","18",,"5",,,,
"#X#186","SZGEShape-HotAngle","Make","200x200x13 EA",,,"200","200","13","13","18",,"5",,,,
"#X#187","SZGEShape-HotAngle","Make","150x150x19 EA",,,"150","150","19","19","13",,"5",,,,
"#X#188","SZGEShape-HotAngle","Make","150x150x16 EA",,,"150","150","15.8","15.8","13",,"5",,,,
"#X#189","SZGEShape-HotAngle","Make","150x150x12 EA",,,"150","150","12","12","13",,"5",,,,
"#X#190","SZGEShape-HotAngle","Make","150x150x10 EA",,,"150","150","9.5","9.5","13",,"5",,,,
"#X#191","SZGEShape-HotAngle","Make","125x125x16 EA",,,"125","125","15.8","15.8","10",,"5",,,,
"#X#192","SZGEShape-HotAngle","Make","125x125x12 EA",,,"125","125","12","12","10",,"5",,,,
"#X#193","SZGEShape-HotAngle","Make","125x125x10 EA",,,"125","125","9.5","9.5","10",,"5",,,,
"#X#194","SZGEShape-HotAngle","Make","125x125x8 EA",,,"125","125","7.8","7.8","10",,"5",,,,
"#X#195","SZGEShape-HotAngle","Make","100x100x12 EA",,,"100","100","12","12","8",,"5",,,,
"#X#196","SZGEShape-HotAngle","Make","100x100x10 EA",,,"100","100","9.5","9.5","8",,"5",,,,
"#X#197","SZGEShape-HotAngle","Make","100x100x8 EA",,,"100","100","7.8","7.8","8",,"5",,,,
"#X#198","SZGEShape-HotAngle","Make","100x100x6 EA",,,"100","100","6","6","8",,"5",,,,
"#X#199","SZGEShape-HotAngle","Make","90x90x10 EA",,,"90","90","9.5","9.5","8",,"5",,,,
"#X#200","SZGEShape-HotAngle","Make","90x90x8 EA",,,"90","90","7.8","7.8","8",,"5",,,,
"#X#201","SZGEShape-HotAngle","Make","90x90x6 EA",,,"90","90","6","6","8",,"5",,,,
"#X#202","SZGEShape-HotAngle","Make","75x75x10 EA",,,"75","75","9.5","9.5","8",,"5",,,,
"#X#203","SZGEShape-HotAngle","Make","75x75x8 EA",,,"75","75","7.8","7.8","8",,"5",,,,
"#X#204","SZGEShape-HotAngle","Make","75x75x6 EA",,,"75","75","6","6","8",,"5",,,,
"#X#205","SZGEShape-HotAngle","Make","75x75x5 EA",,,"75","75","4.6","4.6","8",,"5",,,,
"#X#206","SZGEShape-HotAngle","Make","65x65x10 EA",,,"65","65","9.5","9.5","6",,"3",,,,
"#X#207","SZGEShape-HotAngle","Make","65x65x8 EA",,,"65","65","7.8","7.8","6",,"3",,,,
"#X#208","SZGEShape-HotAngle","Make","65x65x6 EA",,,"65","65","6","6","6",,"3",,,,
"#X#209","SZGEShape-HotAngle","Make","65x65x5 EA",,,"65","65","4.6","4.6","6",,"3",,,,
"#X#210","SZGEShape-HotAngle","Make","55x55x6 EA",,,"55","55","6","6","6",,"3",,,,
